,Animal ID,Name,DateTime,MonthYear,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color
0,A803149,*Birch,8/31/2019 16:26,Aug-19,8/8/2019,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair,Brown Tabby
1,A822928,*Primrose,1/24/2022 11:49,Jan-22,9/15/2010,Adoption,Foster,Cat,Spayed Female,11 years,Domestic Shorthair,Torbie
2,A705205,*Dell,6/20/2015 16:25,Jun-15,3/30/2015,Adoption,Offsite,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Blue Tabby
3,A686459,*Lovey,9/21/2014 17:39,Sep-14,7/15/2014,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie
4,A833513,*Lemmy,5/13/2021 13:15,May-21,5/1/2011,Transfer,Partner,Cat,Neutered Male,10 years,Domestic Shorthair,Brown Tabby
5,A827385,Mittens,1/27/2021 8:51,Jan-21,12/20/2019,Adoption,Foster,Cat,Spayed Female,1 year,Domestic Shorthair,Blue Tabby/White
6,A725540,*Tiny,5/2/2016 13:32,May-16,4/8/2016,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby/White
7,A729355,*Bridget,6/24/2016 14:31,Jun-16,2/11/2016,Transfer,Partner,Cat,Intact Female,4 months,Domestic Shorthair Mix,Torbie/Brown Tabby
8,A842461,*Ruby,10/27/2021 9:50,Oct-21,8/5/2021,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie
9,A676139,*Iona,3/8/2017 7:51,Mar-17,4/9/2008,Adoption,Foster,Cat,Spayed Female,8 years,Domestic Shorthair Mix,Brown Tabby/White
10,A662741,*Todd,10/5/2013 12:42,Oct-13,8/11/2013,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black
11,A796941,*Carrot,8/3/2019 14:40,Aug-19,4/27/2019,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair,Cream Tabby
12,A731104,*Zakarin,9/20/2016 11:28,Sep-16,4/20/2016,Adoption,Foster,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Orange Tabby
13,A732051,*Cinnamon,8/8/2016 15:12,Aug-16,6/24/2016,Transfer,Partner,Cat,Intact Female,1 month,Domestic Shorthair Mix,Torbie
14,A856357,*Manon,6/9/2022 9:08,Jun-22,3/27/2022,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Black
15,A845878,*Bruce,1/19/2022 15:25,Jan-22,10/5/2021,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair,Blue
16,A773488,*O'Malley,7/25/2018 6:31,Jul-18,4/29/2018,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
17,A702402,*Tic,7/8/2015 8:55,Jul-15,4/6/2015,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby/White
18,A827274,*Fizzle,12/30/2020 15:24,Dec-20,9/2/2020,Transfer,Partner,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Blue Tabby
19,A742748,Elsie,6/23/2018 20:45,Jun-18,1/27/2007,Adoption,Foster,Cat,Spayed Female,11 years,Domestic Shorthair Mix,White/Black
