Animal ID,Name,DateTime,MonthYear,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color
A794011,Chunk,5/8/2019 18:20,May-19,5/2/2017,Rto-Adopt,,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby/White
A776359,Gizmo,7/18/2018 16:02,Jul-18,7/12/2017,Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,White/Brown
A821648,,8/16/2020 11:38,Aug-20,8/16/2019,Euthanasia,,Other,Unknown,1 year,Raccoon,Gray
A720371,Moose,2/13/2016 17:59,Feb-16,10/8/2015,Adoption,,Dog,Neutered Male,4 months,Anatol Shepherd/Labrador Retriever,Buff
A674754,,3/18/2014 11:47,Mar-14,3/12/2014,Transfer,Partner,Cat,Intact Male,6 days,Domestic Shorthair Mix,Orange Tabby
A659412,Princess,10/5/2020 14:37,Oct-20,3/24/2013,Adoption,,Dog,Spayed Female,7 years,Chihuahua Shorthair Mix,Brown
A814515,Quentin,5/6/2020 7:59,May-20,3/1/2018,Adoption,Foster,Dog,Neutered Male,2 years,American Foxhound/Labrador Retriever,White/Brown
A860161,*Lalo,7/19/2022 15:53,Jul-22,5/4/2022,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,Brown Tabby
A689724,*Donatello,10/18/2014 18:52,Oct-14,8/1/2014,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
A680969,*Zeus,8/5/2014 16:59,Aug-14,6/3/2014,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Orange Tabby
A840370,Tulip,8/19/2021 19:36,Aug-21,8/6/2019,Adoption,,Dog,Spayed Female,2 years,Border Collie/Cardigan Welsh Corgi,Black/White
A684617,,7/27/2014 9:00,Jul-14,7/26/2012,Transfer,SCRP,Cat,Intact Female,2 years,Domestic Shorthair Mix,Black
A742354,Artemis,1/22/2017 11:56,Jan-17,1/20/2010,Return to Owner,,Cat,Neutered Male,7 years,Domestic Shorthair Mix,Blue/White
A818049,Fiona,6/1/2020 13:24,Jun-20,6/1/2018,Return to Owner,,Dog,Intact Female,2 years,Pit Bull,White/Blue
A843327,*Mary,10/8/2021 13:25,Oct-21,9/29/2019,Transfer,Out State,Dog,Intact Female,2 years,Chihuahua Shorthair Mix,Black/White
A681036,,6/11/2014 17:11,Jun-14,6/9/2014,Transfer,Partner,Cat,Intact Male,2 days,Domestic Shorthair Mix,Brown Tabby
A803149,*Birch,8/31/2019 16:26,Aug-19,8/8/2019,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair,Brown Tabby
A595061,Gypsy,8/18/2022 18:07,Aug-22,10/1/2010,Return to Owner,,Dog,Spayed Female,11 years,Labrador Retriever Mix,Red/White
A698049,Luigi,3/16/2015 14:50,Mar-15,6/5/2014,Transfer,Partner,Cat,Spayed Female,9 months,Domestic Medium Hair Mix,Black/White
A773792,,6/5/2018 15:30,Jun-18,5/5/2018,Euthanasia,Suffering,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Orange Tabby
A848454,Olli,1/7/2022 13:02,Jan-22,4/20/2014,Adoption,,Cat,Spayed Female,7 years,Domestic Shorthair Mix,Orange Tabby
A822928,*Primrose,1/24/2022 11:49,Jan-22,9/15/2010,Adoption,Foster,Cat,Spayed Female,11 years,Domestic Shorthair,Torbie
A833999,,5/8/2021 14:05,May-21,4/23/2021,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Medium Hair,Brown Tabby
A856853,Jameson,5/20/2022 15:32,May-22,11/9/2021,Adoption,,Dog,Neutered Male,6 months,Black Mouth Cur Mix,Brown/Black
A725795,,5/3/2016 12:39,May-16,4/15/2016,Euthanasia,Underage,Other,Unknown,2 weeks,Opossum,Gray
A835990,Jack,6/4/2021 14:31,Jun-21,6/4/2019,Return to Owner,,Dog,Intact Male,2 years,Weimaraner/Labrador Retriever,Blue
A730621,*Liza,9/10/2016 18:59,Sep-16,5/18/2016,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Calico
A765349,Einstein,6/8/2018 13:04,Jun-18,1/18/2009,Adoption,Foster,Dog,Neutered Male,9 years,Chihuahua Shorthair Mix,Tricolor
A878380,A878380,4/15/2023 10:15,Apr-23,4/11/2021,Euthanasia,Suffering,Cat,Intact Male,2 years,Siamese Mix,Lilac Point
A760697,Star,10/26/2017 15:22,Oct-17,10/23/2007,Transfer,Partner,Dog,Intact Male,10 years,Yorkshire Terrier Mix,Brown/Black
A767231,Millie,2/25/2018 17:19,Feb-18,2/25/2017,Return to Owner,,Dog,Spayed Female,1 year,Jack Russell Terrier/Chihuahua Shorthair,White/Tan
A758536,,9/23/2017 11:09,Sep-17,3/18/2017,Transfer,Snr,Cat,Intact Female,6 months,Domestic Shorthair Mix,Brown Tabby
A754682,Big Girl,7/23/2017 11:58,Jul-17,7/22/2009,Return to Owner,,Dog,Spayed Female,8 years,Great Pyrenees Mix,White
A801106,,8/16/2019 14:05,Aug-19,5/6/2019,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair,Orange Tabby
A766700,,2/15/2018 8:59,Feb-18,2/15/2017,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat Mix,Brown
A812473,Theodore Nubbins,3/5/2020 16:15,Mar-20,1/26/2010,Adoption,Foster,Dog,Neutered Male,10 years,Chihuahua Shorthair,Brown
A740079,Terry,12/26/2016 13:45,Dec-16,12/10/2013,Return to Owner,,Dog,Neutered Male,3 years,Australian Cattle Dog Mix,Black/White
A757919,*Tofu,10/5/2017 15:36,Oct-17,9/8/2015,Adoption,,Dog,Spayed Female,2 years,Beagle Mix,Brown/White
A789298,*Mr Wrinkles,4/23/2019 11:59,Apr-19,2/15/2019,Adoption,Foster,Dog,Neutered Male,2 months,Labrador Retriever Mix,Brown/White
A773866,*Nitro,8/23/2018 18:05,Aug-18,6/6/2016,Adoption,,Dog,Neutered Male,2 years,Labrador Retriever/Staffordshire,Black/White
A765701,,1/25/2018 9:39,Jan-18,1/25/2017,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat Mix,Brown
A699884,,4/3/2015 16:16,Apr-15,4/3/2013,Euthanasia,Suffering,Cat,Unknown,2 years,Domestic Shorthair Mix,Gray
A725530,King,6/9/2016 14:50,Jun-16,10/30/2015,Adoption,,Dog,Neutered Male,7 months,Pit Bull Mix,Brown Brindle/White
A722378,Canine,3/31/2016 19:08,Mar-16,3/15/2010,Return to Owner,,Dog,Neutered Male,6 years,German Shepherd Mix,Brown/Black
A852822,*Dreamsicle,3/21/2022 13:38,Mar-22,3/8/2020,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair,Orange Tabby
A707743,,7/18/2015 9:00,Jul-15,4/17/2015,Transfer,SCRP,Cat,Intact Male,3 months,Domestic Shorthair Mix,Black/White
A681449,Buster,7/2/2014 19:01,Jul-14,6/16/2010,Return to Owner,,Dog,Neutered Male,4 years,Dogo Argentino Mix,White/Brown
A738919,Milo,11/27/2016 17:35,Nov-16,9/23/2016,Adoption,,Dog,Neutered Male,2 months,Black Mouth Cur Mix,Brown/Black
A730464,,7/5/2016 12:47,Jul-16,7/5/2015,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat,Black/Brown
A851472,A851472,2/17/2022 12:46,Feb-22,9/13/2020,Transfer,Partner,Dog,Intact Male,1 year,Cairn Terrier Mix,Tan/White
A805930,*Rachel,11/8/2019 18:37,Nov-19,9/11/2019,Adoption,Foster,Dog,Spayed Female,1 month,Border Collie Mix,Chocolate/White
A672423,Valentine,2/14/2014 11:44,Feb-14,2/10/2002,Transfer,Partner,Dog,Spayed Female,12 years,Collie Rough Mix,Red
A665383,Indica,10/30/2013 16:23,Oct-13,6/19/2013,Adoption,,Dog,Spayed Female,4 months,German Shepherd Mix,Black/Tan
A806497,*Moo,12/17/2019 17:59,Dec-19,6/2/2019,Adoption,,Other,Spayed Female,6 months,Polish,White/White
A754899,Puppy,7/29/2017 17:57,Jul-17,7/26/2012,Adoption,,Dog,Spayed Female,5 years,German Shepherd Mix,Brown/Black
A746498,Zeus,5/3/2017 19:25,May-17,4/4/2016,Adoption,,Dog,Neutered Male,1 year,Rat Terrier/Cardigan Welsh Corgi,Black/White
A813785,Snout,2/26/2020 19:45,Feb-20,2/18/2019,Rto-Adopt,,Dog,Neutered Male,1 year,Doberman Pinsch,Black/Brown
A810161,Lizzie,12/19/2019 15:54,Dec-19,10/15/2019,Adoption,,Dog,Spayed Female,2 months,Australian Cattle Dog,Blue Tick/Black
A791163,,3/24/2019 8:22,Mar-19,2/22/2019,Died,In Kennel,Cat,Unknown,4 weeks,Domestic Shorthair Mix,Black/White
A777234,Tyson,1/2/2019 0:00,Jan-19,11/25/2017,Transfer,Partner,Dog,Neutered Male,1 year,Pit Bull Mix,Blue/White
A684009,Big Boy,7/19/2014 18:32,Jul-14,7/18/2012,Return to Owner,,Dog,Neutered Male,2 years,American Staffordshire Terrier Mix,Brown Brindle/White
A870443,Heidi,12/15/2022 15:43,Dec-22,10/31/2010,Adoption,,Dog,Spayed Female,12 years,Jack Russell Terrier/Chihuahua Shorthair,White/Black
A839936,A839936,8/2/2021 17:57,Aug-21,5/29/2021,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever,Black/White
A757815,,9/7/2017 11:00,Sep-17,9/7/2015,Euthanasia,Rabies Risk,Other,Unknown,2 years,Raccoon,Gray/Black
A792258,Vesper,4/10/2019 20:53,Apr-19,9/8/2016,Adoption,,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Tortie
A802723,*Linguine,9/20/2019 18:27,Sep-19,7/9/2019,Adoption,Foster,Dog,Spayed Female,2 months,Miniature Poodle Mix,Tan
A705205,*Dell,6/20/2015 16:25,Jun-15,3/30/2015,Adoption,Offsite,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Blue Tabby
A689228,Louie,12/5/2014 15:55,Dec-14,6/1/2014,Adoption,,Dog,Neutered Male,6 months,Dachshund/Chihuahua Shorthair,Sable/Tan
A851434,Taco Bell,2/13/2022 13:15,Feb-22,2/12/2010,Transfer,Partner,Dog,Neutered Male,12 years,Chihuahua Shorthair,Fawn/Tan
A855554,Petey,4/22/2022 16:03,Apr-22,8/19/2020,Return to Owner,,Dog,Neutered Male,1 year,Bloodhound Mix,Brown/Black
A688837,*Sterling,10/13/2014 18:14,Oct-14,9/24/2013,Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Tan/White
A634392,Junior,3/24/2018 15:56,Mar-18,8/11/2009,Return to Owner,,Dog,Neutered Male,8 years,Standard Schnauzer/Miniature Poodle,White
A736717,Max,10/21/2016 14:45,Oct-16,10/16/2013,Return to Owner,,Dog,Neutered Male,3 years,Pug Mix,Brown Brindle
A766886,Lola,2/26/2018 17:53,Feb-18,2/18/2017,Adoption,,Dog,Spayed Female,1 year,Labrador Retriever Mix,Brown/Brown
A817863,*Beef,6/4/2020 14:45,Jun-20,5/27/2018,Adoption,,Dog,Neutered Male,2 years,American Bulldog,Brown Brindle/White
A767796,*Koko,6/20/2019 14:18,Jun-19,12/6/2017,Transfer,Partner,Dog,Spayed Female,1 year,American Pit Bull Terrier Mix,Brown/White
A777606,Bobo,8/7/2018 17:25,Aug-18,7/31/2011,Adoption,,Dog,Neutered Male,7 years,Chihuahua Shorthair Mix,Tricolor
A805948,Blue,10/4/2019 11:25,Oct-19,10/4/2017,Return to Owner,,Dog,Intact Male,2 years,Siberian Husky,Black/Gray
A702919,,5/21/2015 13:32,May-15,4/4/2015,Transfer,Partner,Cat,Intact Male,1 month,Domestic Shorthair Mix,Blue
A696409,*Hans,2/9/2015 18:46,Feb-15,11/19/2014,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
A688758,,9/23/2014 13:21,Sep-14,9/13/2014,Transfer,Partner,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Black/White
A795325,,5/21/2019 17:10,May-19,3/19/2019,Adoption,,Dog,Spayed Female,2 months,Labrador Retriever,Black
A778589,,9/26/2018 10:04,Sep-18,7/2/2018,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Cream Tabby
A734055,,9/1/2016 8:05,Sep-16,8/31/2015,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat Mix,Brown
A709257,,8/7/2015 8:35,Aug-15,8/6/2014,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat Mix,Black
A781976,*Fancy,10/16/2018 14:25,Oct-18,10/8/2017,Transfer,Partner,Dog,Intact Female,1 year,German Shepherd Mix,White
A751447,Bowser,6/16/2017 18:29,Jun-17,6/8/2014,Adoption,,Dog,Neutered Male,3 years,Beagle Mix,Brown/White
A643424,Patches,10/30/2015 17:23,Oct-15,12/9/2009,Return to Owner,,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Black/White
A791702,Cooper,4/4/2019 16:13,Apr-19,1/20/2019,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever Mix,Brown/White
A727851,,5/26/2016 18:09,May-16,5/26/2014,Euthanasia,Rabies Risk,Other,Unknown,2 years,Bat Mix,Brown/Black
A847063,Ella,11/29/2021 16:55,Nov-21,11/24/2019,Adoption,,Dog,Spayed Female,2 years,Chihuahua Shorthair,White/Black
A748126,,5/15/2017 15:40,May-17,4/29/2016,Transfer,Partner,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Brown Tabby
A859541,A859541,6/20/2022 20:39,Jun-22,6/8/2022,Died,In Kennel,Dog,Intact Female,1 weeks,German Shepherd Mix,Black/Brown
A664941,Tequila,10/12/2013 18:14,Oct-13,10/11/2009,Return to Owner,,Dog,Spayed Female,4 years,Pit Bull Mix,Red/White
A657197,Gecko,10/9/2013 13:15,Oct-13,5/12/2013,Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby
A801948,Boie,7/9/2021 13:24,Jul-21,2/12/2019,Adoption,,Dog,Neutered Male,2 years,Australian Kelpie Mix,Brown Brindle/White
A809230,*Moo,11/24/2019 16:36,Nov-19,11/21/2015,Adoption,,Dog,Neutered Male,4 years,Siberian Husky,Gray/White
A783412,*Yams,12/16/2018 12:45,Dec-18,10/30/2008,Adoption,,Cat,Neutered Male,10 years,Domestic Shorthair Mix,Black
A686459,*Lovey,9/21/2014 17:39,Sep-14,7/15/2014,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie
A742736,Astro,1/31/2017 17:02,Jan-17,5/1/2016,Adoption,,Dog,Neutered Male,9 months,Yorkshire Terrier/Miniature Poodle,Brown/Gray
A727627,Cesar,5/26/2016 17:13,May-16,5/23/2015,Return to Owner,,Dog,Neutered Male,1 year,Pit Bull Mix,Brown Brindle/White
A790321,Prince,3/10/2019 17:37,Mar-19,3/10/2010,Return to Owner,,Dog,Intact Male,9 years,Miniature Schnauzer Mix,Black
A679096,Copper,12/22/2015 11:50,Dec-15,5/16/2007,Adoption,Foster,Dog,Neutered Male,8 years,Miniature Pinscher Mix,Red
A799580,*Roger Rabbit,8/19/2019 19:09,Aug-19,5/10/2019,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair,Blue Tabby/White
A833513,*Lemmy,5/13/2021 13:15,May-21,5/1/2011,Transfer,Partner,Cat,Neutered Male,10 years,Domestic Shorthair,Brown Tabby
A716376,,12/17/2015 11:33,Dec-15,10/18/2015,Adoption,Foster,Dog,Spayed Female,1 month,Boxer Mix,Red/White
A671125,,1/20/2014 18:32,Jan-14,11/3/2013,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
A755735,Baby,8/15/2017 11:46,Aug-17,8/8/2013,Return to Owner,,Dog,Spayed Female,4 years,Australian Cattle Dog,Blue Merle
A697910,Boris,6/23/2015 13:38,Jun-15,3/3/2013,Return to Owner,,Cat,Neutered Male,2 years,Domestic Medium Hair Mix,Orange Tabby/White
A687056,,8/31/2014 9:00,Aug-14,3/30/2014,Transfer,SCRP,Cat,Intact Male,5 months,Domestic Shorthair Mix,Orange Tabby
A685566,,8/10/2014 19:11,Aug-14,6/9/2014,Adoption,,Dog,Spayed Female,2 months,Catahoula/Pointer,Brown Merle/White
A666111,*Jerry,10/29/2013 18:47,Oct-13,7/29/2013,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby/White
A827385,Mittens,1/27/2021 8:51,Jan-21,12/20/2019,Adoption,Foster,Cat,Spayed Female,1 year,Domestic Shorthair,Blue Tabby/White
A807106,Wendell,7/23/2020 17:46,Jul-20,3/20/2019,Adoption,,Dog,Neutered Male,1 year,Standard Poodle,Silver
A785591,Luke,3/9/2019 11:49,Mar-19,9/11/2017,Adoption,,Dog,Neutered Male,1 year,Labrador Retriever Mix,Brown/White
A707921,Debo,7/21/2015 15:01,Jul-15,8/14/2011,Return to Owner,,Dog,Intact Male,3 years,Pit Bull Mix,Red/White
A718784,*Marigold,1/12/2016 11:52,Jan-16,10/7/2015,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby/White
A675548,,3/29/2014 8:42,Mar-14,3/1/2014,Euthanasia,Rabies Risk,Other,Unknown,4 weeks,Bat,Brown/Black
A676323,,5/23/2014 12:24,May-14,3/21/2014,Adoption,,Dog,Spayed Female,2 months,Australian Cattle Dog Mix,Tricolor
A847273,Brandi,12/3/2021 17:36,Dec-21,11/29/2017,Return to Owner,,Dog,Intact Female,4 years,Jack Russell Terrier Mix,Cream/Brown
A808862,Big Papi,11/18/2019 12:23,Nov-19,11/14/2018,Transfer,Partner,Dog,Intact Male,1 year,Miniature Poodle Mix,Apricot
A707253,Goowa,1/29/2016 16:57,Jan-16,7/10/2012,Transfer,Partner,Dog,Neutered Male,3 years,Pit Bull Mix,Apricot/Brown
A721165,*Nelson,2/26/2016 21:13,Feb-16,2/22/2015,Adoption,,Dog,Neutered Male,1 year,Pit Bull Mix,Brown/White
A851070,*Grady,2/15/2022 15:05,Feb-22,2/5/2015,Adoption,Foster,Dog,Neutered Male,7 years,Labrador Retriever Mix,Silver
A819227,Agou,6/30/2020 18:52,Jun-20,6/24/2018,Rto-Adopt,,Dog,Spayed Female,2 years,Great Pyrenees,White
A685823,Walker,8/15/2014 17:17,Aug-14,8/13/2011,Return to Owner,,Dog,Neutered Male,3 years,Pit Bull Mix,Black/White
A805622,Sadie,12/5/2019 12:02,Dec-19,3/29/2018,Adoption,,Dog,Spayed Female,1 year,German Shepherd Mix,Black/Tan
A651995,*Sugar,7/2/2018 15:34,Jul-18,10/18/2011,Adoption,Foster,Dog,Spayed Female,6 years,Staffordshire Mix,Brown/White
A769199,Sophia,4/3/2018 16:33,Apr-18,4/1/2016,Return to Owner,,Dog,Intact Female,2 years,Dachshund Mix,Black/Tan
A824550,,10/16/2020 14:11,Oct-20,9/16/2020,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair,Blue
A696539,Jasper,2/14/2015 16:36,Feb-15,11/6/2014,Adoption,,Dog,Neutered Male,3 months,Australian Cattle Dog Mix,Tan/White
A791899,,4/5/2019 19:36,Apr-19,4/2/2018,Transfer,Snr,Cat,Intact Female,1 year,Siamese Mix,Tortie Point
A725540,*Tiny,5/2/2016 13:32,May-16,4/8/2016,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby/White
A782089,,10/10/2018 21:00,Oct-18,10/10/2016,Euthanasia,Suffering,Cat,Intact Female,2 years,Domestic Shorthair Mix,Tan/Black
A830483,,3/10/2021 12:31,Mar-21,3/10/2020,Euthanasia,Suffering,Cat,Intact Male,1 year,Domestic Shorthair,Seal Point
A839198,A839198,8/6/2021 13:07,Aug-21,6/8/2021,Adoption,Foster,Dog,Spayed Female,1 month,German Shepherd,Black/Tan
A739966,*Skippyjohn,2/10/2017 7:34,Feb-17,11/9/2016,Adoption,Foster,Cat,Neutered Male,3 months,Siamese Mix,Seal Point
A808447,Elle,12/4/2019 14:45,Dec-19,5/8/2019,Adoption,,Dog,Intact Female,6 months,Labrador Retriever,Black
A729355,*Bridget,6/24/2016 14:31,Jun-16,2/11/2016,Transfer,Partner,Cat,Intact Female,4 months,Domestic Shorthair Mix,Torbie/Brown Tabby
A788817,*Latte,11/6/2021 11:55,Nov-21,4/9/2018,Transfer,Partner,Dog,Spayed Female,3 years,Staffordshire Mix,Fawn/White
A679609,,5/23/2014 16:24,May-14,4/17/2014,Transfer,Partner,Dog,Intact Female,1 month,Pit Bull Mix,Brown/White
A766831,Lucky,2/19/2018 12:30,Feb-18,2/17/2016,Return to Owner,,Dog,Intact Male,2 years,Great Pyrenees Mix,White/Black
A706892,Penny,2/24/2016 18:32,Feb-16,7/5/2012,Adoption,,Dog,Spayed Female,3 years,German Shepherd Mix,Tan/Black
A687681,,9/8/2014 18:53,Sep-14,9/3/2014,Transfer,Partner,Cat,Unknown,5 days,Domestic Shorthair Mix,Blue Tabby
A726716,*Montana,12/20/2016 9:59,Dec-16,5/13/2015,Adoption,Foster,Dog,Neutered Male,1 year,Pit Bull Mix,Brown Brindle/White
A692534,Lareine,11/28/2014 16:58,Nov-14,11/22/2013,Adoption,,Dog,Spayed Female,1 year,Queensland Heeler/Pointer,Blue Tick
A767252,Amy,3/4/2019 19:15,Mar-19,1/26/2010,Return to Owner,,Dog,Spayed Female,9 years,Chihuahua Shorthair Mix,Tricolor/White
A781920,Binz,10/8/2018 11:17,Oct-18,10/8/2016,Return to Owner,,Dog,Neutered Male,2 years,American Bulldog Mix,White/Gray
A764556,Cash,1/1/2018 16:43,Jan-18,5/22/2011,Return to Owner,,Dog,Intact Male,6 years,Labrador Retriever Mix,Black
A666702,*Farley,1/12/2015 14:17,Jan-15,3/6/2013,Adoption,,Dog,Neutered Male,1 year,Catahoula Mix,Brown Brindle/White
A862540,Zamazenta,8/4/2022 18:12,Aug-22,3/27/2022,Rto-Adopt,,Dog,Neutered Male,4 months,Pit Bull,Brown
A652101,Stella,1/6/2016 18:56,Jan-16,4/20/2011,Return to Owner,,Dog,Spayed Female,4 years,Pit Bull/Chow Chow,Tan/White
